,Lat,Lon,Cls,Nearest City
428,-89.75,34.25,EF,port elizabeth
429,-89.75,34.75,EF,port elizabeth
430,-89.75,35.25,EF,port elizabeth
431,-89.75,35.75,EF,port elizabeth
432,-89.75,36.25,EF,port elizabeth
433,-89.75,36.75,EF,port elizabeth
434,-89.75,37.25,EF,port elizabeth
435,-89.75,37.75,EF,port elizabeth
436,-89.75,38.25,EF,port elizabeth
437,-89.75,38.75,EF,port elizabeth
438,-89.75,39.25,EF,port elizabeth
439,-89.75,39.75,EF,port elizabeth
440,-89.75,40.25,EF,port alfred
441,-89.75,40.75,EF,port alfred
442,-89.75,41.25,EF,port alfred
443,-89.75,41.75,EF,port alfred
444,-89.75,42.25,EF,port alfred
445,-89.75,42.75,EF,port alfred
446,-89.75,43.25,EF,port alfred
447,-89.75,43.75,EF,port alfred
448,-89.75,44.25,EF,port alfred
449,-89.75,44.75,EF,port alfred
450,-89.75,45.25,EF,port alfred
451,-89.75,45.75,EF,port alfred
452,-89.75,46.25,EF,port alfred
453,-89.75,46.75,EF,port alfred
454,-89.75,47.25,EF,port alfred
455,-89.75,47.75,EF,port alfred
456,-89.75,48.25,EF,port alfred
457,-89.75,48.75,EF,port alfred
458,-89.75,49.25,EF,port alfred
459,-89.75,49.75,EF,port alfred
460,-89.75,50.25,EF,port alfred
461,-89.75,50.75,EF,port alfred
462,-89.75,51.25,EF,port alfred
463,-89.75,51.75,EF,port alfred
464,-89.75,52.25,EF,port alfred
465,-89.75,52.75,EF,port alfred
466,-89.75,53.25,EF,port alfred
467,-89.75,53.75,EF,port alfred
468,-89.75,54.25,EF,port alfred
469,-89.75,54.75,EF,port alfred
470,-89.75,55.25,EF,port alfred
471,-89.75,55.75,EF,port alfred
472,-89.75,56.25,EF,port alfred
473,-89.75,56.75,EF,port alfred
474,-89.75,57.25,EF,port alfred
475,-89.75,57.75,EF,port alfred
476,-89.75,58.25,EF,port alfred
477,-89.75,58.75,EF,port alfred
478,-89.75,59.25,EF,port alfred
479,-89.75,59.75,EF,east london
480,-89.75,60.25,EF,east london
481,-89.75,60.75,EF,east london
482,-89.75,61.25,EF,east london
483,-89.75,61.75,EF,east london
484,-89.75,62.25,EF,east london
485,-89.75,62.75,EF,east london
486,-89.75,63.25,EF,taolanaro
487,-89.75,63.75,EF,taolanaro
488,-89.75,64.25,EF,taolanaro
489,-89.75,64.75,EF,taolanaro
490,-89.75,65.25,EF,taolanaro
491,-89.75,65.75,EF,taolanaro
492,-89.75,66.25,EF,taolanaro
493,-89.75,66.75,EF,taolanaro
494,-89.75,67.25,EF,taolanaro
495,-89.75,67.75,EF,taolanaro
496,-89.75,68.25,EF,taolanaro
497,-89.75,68.75,EF,taolanaro
498,-89.75,69.25,EF,taolanaro
499,-89.75,69.75,EF,taolanaro
500,-89.75,70.25,EF,taolanaro
501,-89.75,70.75,EF,taolanaro
502,-89.75,71.25,EF,taolanaro
503,-89.75,71.75,EF,taolanaro
504,-89.75,72.25,EF,taolanaro
505,-89.75,72.75,EF,taolanaro
506,-89.75,73.25,EF,taolanaro
507,-89.75,73.75,EF,busselton
508,-89.75,74.25,EF,busselton
509,-89.75,74.75,EF,busselton
510,-89.75,75.25,EF,busselton
511,-89.75,75.75,EF,busselton
512,-89.75,76.25,EF,busselton
513,-89.75,76.75,EF,busselton
514,-89.75,77.25,EF,busselton
515,-89.75,77.75,EF,busselton
516,-89.75,78.25,EF,busselton
517,-89.75,78.75,EF,busselton
518,-89.75,79.25,EF,busselton
519,-89.75,79.75,EF,busselton
520,-89.75,80.25,EF,busselton
521,-89.75,80.75,EF,busselton
522,-89.75,81.25,EF,busselton
523,-89.75,81.75,EF,busselton
524,-89.75,82.25,EF,busselton
525,-89.75,82.75,EF,busselton
526,-89.75,83.25,EF,busselton
527,-89.75,83.75,EF,busselton
528,-89.75,84.25,EF,busselton
529,-89.75,84.75,EF,busselton
530,-89.75,85.25,EF,busselton
531,-89.75,85.75,EF,busselton
532,-89.75,86.25,EF,busselton
533,-89.75,86.75,EF,busselton
534,-89.75,87.25,EF,albany
535,-89.75,87.75,EF,albany
536,-89.75,88.25,EF,albany
537,-89.75,88.75,EF,albany
538,-89.75,89.25,EF,albany
539,-89.75,89.75,EF,albany
540,-89.75,90.25,EF,albany
541,-89.75,90.75,EF,albany
542,-89.75,91.25,EF,albany
543,-89.75,91.75,EF,albany
544,-89.75,92.25,EF,albany
545,-89.75,92.75,EF,albany
546,-89.75,93.25,EF,albany
547,-89.75,93.75,EF,albany
548,-89.75,94.25,EF,albany
549,-89.75,94.75,EF,albany
550,-89.75,95.25,EF,albany
551,-89.75,95.75,EF,albany
552,-89.75,96.25,EF,albany
553,-89.75,96.75,EF,albany
554,-89.75,97.25,EF,albany
555,-89.75,97.75,EF,albany
556,-89.75,98.25,EF,albany
557,-89.75,98.75,EF,albany
558,-89.75,99.25,EF,albany
559,-89.75,99.75,EF,albany
560,-89.75,100.25,EF,albany
561,-89.75,100.75,EF,albany
562,-89.75,101.25,EF,albany
563,-89.75,101.75,EF,albany
564,-89.75,102.25,EF,albany
565,-89.75,102.75,EF,albany
566,-89.75,103.25,EF,albany
567,-89.75,103.75,EF,albany
568,-89.75,104.25,EF,albany
569,-89.75,104.75,EF,albany
570,-89.75,105.25,EF,albany
571,-89.75,105.75,EF,albany
572,-89.75,106.25,EF,albany
573,-89.75,106.75,EF,albany
574,-89.75,107.25,EF,albany
575,-89.75,107.75,EF,albany
576,-89.75,108.25,EF,albany
577,-89.75,108.75,EF,albany
578,-89.75,109.25,EF,albany
579,-89.75,109.75,EF,albany
580,-89.75,110.25,EF,albany
581,-89.75,110.75,EF,albany
582,-89.75,111.25,EF,albany
583,-89.75,111.75,EF,albany
584,-89.75,112.25,EF,albany
585,-89.75,112.75,EF,albany
586,-89.75,113.25,EF,albany
587,-89.75,113.75,EF,albany
588,-89.75,114.25,EF,albany
589,-89.75,114.75,EF,albany
590,-89.75,115.25,EF,albany
591,-89.75,115.75,EF,albany
592,-89.75,116.25,EF,albany
593,-89.75,116.75,EF,albany
594,-89.75,117.25,EF,albany
595,-89.75,117.75,EF,albany
596,-89.75,118.25,EF,albany
597,-89.75,118.75,EF,albany
598,-89.75,119.25,EF,new norfolk
599,-89.75,119.75,EF,new norfolk
600,-89.75,120.25,EF,new norfolk
601,-89.75,120.75,EF,new norfolk
602,-89.75,121.25,EF,new norfolk
603,-89.75,121.75,EF,new norfolk
604,-89.75,122.25,EF,new norfolk
605,-89.75,122.75,EF,new norfolk
606,-89.75,123.25,EF,new norfolk
607,-89.75,123.75,EF,new norfolk
608,-89.75,124.25,EF,new norfolk
609,-89.75,124.75,EF,new norfolk
610,-89.75,125.25,EF,new norfolk
611,-89.75,125.75,EF,new norfolk
612,-89.75,126.25,EF,new norfolk
613,-89.75,126.75,EF,new norfolk
614,-89.75,127.25,EF,new norfolk
615,-89.75,127.75,EF,new norfolk
616,-89.75,128.25,EF,new norfolk
617,-89.75,128.75,EF,new norfolk
618,-89.75,129.25,EF,new norfolk
619,-89.75,129.75,EF,hobart
620,-89.75,130.25,EF,hobart
621,-89.75,130.75,EF,hobart
622,-89.75,131.25,EF,hobart
623,-89.75,131.75,EF,hobart
624,-89.75,132.25,EF,hobart
625,-89.75,132.75,EF,hobart
626,-89.75,133.25,EF,hobart
627,-89.75,133.75,EF,hobart
628,-89.75,134.25,EF,hobart
629,-89.75,134.75,EF,hobart
630,-89.75,135.25,EF,hobart
631,-89.75,135.75,EF,hobart
632,-89.75,136.25,EF,hobart
633,-89.75,136.75,EF,hobart
634,-89.75,137.25,EF,hobart
635,-89.75,137.75,EF,hobart
636,-89.75,138.25,EF,hobart
637,-89.75,138.75,EF,hobart
638,-89.75,139.25,EF,hobart
639,-89.75,139.75,EF,hobart
640,-89.75,140.25,EF,hobart
641,-89.75,140.75,EF,hobart
642,-89.75,141.25,EF,hobart
643,-89.75,141.75,EF,hobart
644,-89.75,142.25,EF,hobart
645,-89.75,142.75,EF,hobart
646,-89.75,143.25,EF,hobart
647,-89.75,143.75,EF,hobart
648,-89.75,144.25,EF,hobart
649,-89.75,144.75,EF,hobart
650,-89.75,145.25,EF,hobart
651,-89.75,145.75,EF,hobart
652,-89.75,146.25,EF,hobart
653,-89.75,146.75,EF,hobart
654,-89.75,147.25,EF,hobart
655,-89.75,147.75,EF,hobart
656,-89.75,148.25,EF,hobart
657,-89.75,148.75,EF,hobart
658,-89.75,149.25,EF,hobart
659,-89.75,149.75,EF,hobart
660,-89.75,150.25,EF,bluff
661,-89.75,150.75,EF,bluff
662,-89.75,151.25,EF,bluff
663,-89.75,151.75,EF,bluff
