,City,Climate Classification,Lat,Lon,Country,Population
303,San Francisco,Cwb,10.65,124.35,Philippines,59236.0
304,San Francisco,Cwb,16.8017,-89.9342,Guatemala,47919.0
305,San Francisco,Cwb,15.6667,-87.0333,Honduras,11206.0
306,San Francisco,Cwb,4.9711,-74.2892,Colombia,8304.0
307,San Francisco,Cwb,20.5333,-102.5,Mexico,5167.0
308,Jiaozuo,Cwa,35.229,113.2304,China,3590700.0
309,Hechi,Cfa,24.6928,108.085,China,3545700.0
310,Montréal,Dfb,45.5089,-73.5617,Canada,3519595.0
311,Detroit,Dfa,42.3834,-83.1024,United States,3506126.0
312,Chengde,Dwb,40.9739,117.9322,China,3473201.0
313,Busan,Cfa,35.1,129.0403,South Korea,3453198.0
314,Algiers,Csa,36.7764,3.0586,Algeria,3415811.0
315,Hanzhong,Cwa,33.0794,107.026,China,3416196.0
316,Shiyan,Cwa,32.6351,110.7755,China,3398000.0
317,Shiyan,Cwa,23.1251,113.8633,China,122802.0
318,Lucknow,Csa,26.847,80.947,India,3382000.0
319,Siping,Dwa,43.1715,124.3644,China,3385156.0
320,Yulinshi,BSk,38.2655,109.7388,China,3351436.0
321,Changzhi,Dwa,36.1953,113.097,China,3334565.0
322,Qinzhou,Cwa,21.95,108.6167,China,3304400.0
323,Bazhou,Dwa,31.8576,106.7559,China,3283148.0
324,Bazhou,Dwa,39.1235,116.386,China,622975.0
325,Qincheng,Dwb,34.5809,105.7311,China,3262549.0
326,Zhongshan,Dwb,22.5333,113.35,China,3260000.0
327,Zhongshan,Dwb,34.943,105.8771,China,27147.0
328,Suining,Cwa,30.5098,105.5737,China,3252619.0
329,Leshan,Cwa,29.5854,103.7575,China,3235759.0
330,San Diego,Aw,32.8312,-117.1225,United States,3220118.0
331,San Diego,Aw,10.2558,-67.9539,Venezuela,187215.0
332,San Diego,Aw,14.7833,-89.7833,Guatemala,7732.0
333,Faisalabad,BSh,31.418,73.079,Pakistan,3203846.0
334,Guang’an,Cwa,30.4673,106.6336,China,3205476.0
335,Tongren,Cfa,27.7233,109.1885,China,3168800.0
336,Bengbu,Cfa,32.9354,117.3531,China,3164467.0
337,Santa Cruz,Aw,-17.7892,-63.1975,Bolivia,3151676.0
338,Santa Cruz,Aw,28.4667,-16.25,Spain,208563.0
339,Santa Cruz,Aw,36.9789,-122.0346,United States,176428.0
340,Santa Cruz,Aw,14.2833,121.4167,Philippines,123574.0
341,Santa Cruz,Aw,6.8333,125.4167,Philippines,101125.0
342,Santa Cruz,Aw,15.7667,119.9167,Philippines,63839.0
343,Santa Cruz,Aw,13.4833,122.0333,Philippines,54692.0
